nu,I4,lambda_tau_required_for_lambda_H_0p129,guardrail
0.100000,0.048892760,2.638427458,higgs_module_candidate_not_standard_model_derivation
0.110000,0.053577684,2.407718838,higgs_module_candidate_not_standard_model_derivation
0.120000,0.058216744,2.215857360,higgs_module_candidate_not_standard_model_derivation
0.130000,0.062809119,2.053841894,higgs_module_candidate_not_standard_model_derivation
0.140000,0.067354248,1.915246683,higgs_module_candidate_not_standard_model_derivation
0.150000,0.071851786,1.795362459,higgs_module_candidate_not_standard_model_derivation
0.160000,0.076301576,1.690659700,higgs_module_candidate_not_standard_model_derivation
0.170000,0.080703617,1.598441370,higgs_module_candidate_not_standard_model_derivation
0.180000,0.085058042,1.516611450,higgs_module_candidate_not_standard_model_derivation
0.190000,0.089365097,1.443516591,higgs_module_candidate_not_standard_model_derivation
0.200000,0.093625124,1.377835297,higgs_module_candidate_not_standard_model_derivation
0.210000,0.097838543,1.318498788,higgs_module_candidate_not_standard_model_derivation
0.220000,0.102005841,1.264633462,higgs_module_candidate_not_standard_model_derivation
0.230000,0.106127561,1.215518374,higgs_module_candidate_not_standard_model_derivation
0.240000,0.110204288,1.170553366,higgs_module_candidate_not_standard_model_derivation
0.250000,0.114236645,1.129234841,higgs_module_candidate_not_standard_model_derivation
0.260000,0.118225285,1.091137149,higgs_module_candidate_not_standard_model_derivation
0.270000,0.122170880,1.055898099,higgs_module_candidate_not_standard_model_derivation
0.280000,0.126074122,1.023207599,higgs_module_candidate_not_standard_model_derivation
0.290000,0.129935715,0.992798633,higgs_module_candidate_not_standard_model_derivation
0.300000,0.133756369,0.964440057,higgs_module_candidate_not_standard_model_derivation
0.310000,0.137536801,0.937930789,higgs_module_candidate_not_standard_model_derivation
0.320000,0.141277728,0.913095090,higgs_module_candidate_not_standard_model_derivation
0.330000,0.144979868,0.889778708,higgs_module_candidate_not_standard_model_derivation
0.340000,0.148643935,0.867845700,higgs_module_candidate_not_standard_model_derivation
0.350000,0.152270638,0.847175802,higgs_module_candidate_not_standard_model_derivation
0.360000,0.155860680,0.827662245,higgs_module_candidate_not_standard_model_derivation
0.370000,0.159414755,0.809209912,higgs_module_candidate_not_standard_model_derivation
0.380000,0.162933551,0.791733803,higgs_module_candidate_not_standard_model_derivation
0.390000,0.166417744,0.775157726,higgs_module_candidate_not_standard_model_derivation
0.400000,0.169868001,0.759413189,higgs_module_candidate_not_standard_model_derivation
0.410000,0.173284976,0.744438457,higgs_module_candidate_not_standard_model_derivation
0.420000,0.176669314,0.730177737,higgs_module_candidate_not_standard_model_derivation
0.430000,0.180021647,0.716580489,higgs_module_candidate_not_standard_model_derivation
0.440000,0.183342595,0.703600818,higgs_module_candidate_not_standard_model_derivation
0.450000,0.186632766,0.691196956,higgs_module_candidate_not_standard_model_derivation
0.460000,0.189892755,0.679330813,higgs_module_candidate_not_standard_model_derivation
0.470000,0.193123146,0.667967578,higgs_module_candidate_not_standard_model_derivation
0.480000,0.196324508,0.657075377,higgs_module_candidate_not_standard_model_derivation
0.490000,0.199497400,0.646624969,higgs_module_candidate_not_standard_model_derivation
0.500000,0.202642367,0.636589484,higgs_module_candidate_not_standard_model_derivation
0.510000,0.205759944,0.626944183,higgs_module_candidate_not_standard_model_derivation
0.520000,0.208850651,0.617666257,higgs_module_candidate_not_standard_model_derivation
0.530000,0.211914998,0.608734639,higgs_module_candidate_not_standard_model_derivation
0.540000,0.214953483,0.600129842,higgs_module_candidate_not_standard_model_derivation
0.550000,0.217966592,0.591833816,higgs_module_candidate_not_standard_model_derivation
0.560000,0.220954799,0.583829817,higgs_module_candidate_not_standard_model_derivation
0.570000,0.223918569,0.576102289,higgs_module_candidate_not_standard_model_derivation
0.580000,0.226858352,0.568636766,higgs_module_candidate_not_standard_model_derivation
0.590000,0.229774593,0.561419774,higgs_module_candidate_not_standard_model_derivation
0.600000,0.232667721,0.554438749,higgs_module_candidate_not_standard_model_derivation
0.610000,0.235538158,0.547681961,higgs_module_candidate_not_standard_model_derivation
0.620000,0.238386314,0.541138448,higgs_module_candidate_not_standard_model_derivation
0.630000,0.241212591,0.534797953,higgs_module_candidate_not_standard_model_derivation
0.640000,0.244017381,0.528650868,higgs_module_candidate_not_standard_model_derivation
0.650000,0.246801065,0.522688183,higgs_module_candidate_not_standard_model_derivation
0.660000,0.249564016,0.516901442,higgs_module_candidate_not_standard_model_derivation
0.670000,0.252306600,0.511282701,higgs_module_candidate_not_standard_model_derivation
0.680000,0.255029171,0.505824489,higgs_module_candidate_not_standard_model_derivation
0.690000,0.257732076,0.500519772,higgs_module_candidate_not_standard_model_derivation
0.700000,0.260415654,0.495361926,higgs_module_candidate_not_standard_model_derivation
0.710000,0.263080237,0.490344701,higgs_module_candidate_not_standard_model_derivation
0.720000,0.265726146,0.485462203,higgs_module_candidate_not_standard_model_derivation
0.730000,0.268353697,0.480708860,higgs_module_candidate_not_standard_model_derivation
0.740000,0.270963199,0.476079410,higgs_module_candidate_not_standard_model_derivation
0.750000,0.273554952,0.471568872,higgs_module_candidate_not_standard_model_derivation
0.760000,0.276129250,0.467172529,higgs_module_candidate_not_standard_model_derivation
0.770000,0.278686379,0.462885917,higgs_module_candidate_not_standard_model_derivation
0.780000,0.281226621,0.458704797,higgs_module_candidate_not_standard_model_derivation
0.790000,0.283750248,0.454625153,higgs_module_candidate_not_standard_model_derivation
0.800000,0.286257529,0.450643169,higgs_module_candidate_not_standard_model_derivation
